Date,Open,High,Low,Close,AdjClose,Volume
1/8/2016,24.637501,24.7775,24.190001,24.24,22.291668,283192000
1/11/2016,24.7425,24.764999,24.334999,24.6325,22.652622,198957600
1/12/2016,25.137501,25.172501,24.709999,24.99,22.981382,196616800
1/13/2016,25.08,25.297501,24.325001,24.3475,22.39053,249758400
1/14/2016,24.49,25.120001,23.934999,24.879999,22.880226,252680400
1/15/2016,24.049999,24.4275,23.84,24.282499,22.330751,319335600
1/19/2016,24.602501,24.6625,23.875,24.165001,22.2227,212350800
1/20/2016,23.775,24.547501,23.355,24.1975,22.252583,289337600
1/21/2016,24.264999,24.469999,23.735001,24.075001,22.139933,208646000
1/22/2016,24.657499,25.365,24.592501,25.355,23.317047,263202000
1/25/2016,25.379999,25.3825,24.8025,24.860001,22.861832,207178000
1/26/2016,24.9825,25.219999,24.5175,24.997499,22.988283,300308000
1/27/2016,24.01,24.157499,23.334999,23.355,21.477802,533478800
1/28/2016,23.4475,23.629999,23.0975,23.522499,21.631842,222715200
1/29/2016,23.6975,24.334999,23.5875,24.334999,22.379028,257666000
2/1/2016,24.1175,24.1775,23.85,24.1075,22.169817,163774000
2/2/2016,23.855,24.01,23.57,23.620001,21.721506,149428800
2/3/2016,23.75,24.209999,23.52,24.0875,22.151426,183857200
2/4/2016,23.965,24.3325,23.797501,24.15,22.329414,185886800
2/5/2016,24.129999,24.23,23.422501,23.504999,21.733036,185672400
2/8/2016,23.282499,23.924999,23.26,23.752501,21.961878,216085600
2/9/2016,23.5725,23.985001,23.4825,23.747499,21.957256,177324800
2/10/2016,23.98,24.0875,23.525,23.567499,21.790825,169374400
2/11/2016,23.4475,23.68,23.147499,23.424999,21.659069,200298800
2/12/2016,23.547501,23.625,23.252501,23.497499,21.726103,161405600
2/16/2016,23.754999,24.2125,23.6525,24.16,22.338661,196231600
2/17/2016,24.1675,24.5525,24.0375,24.530001,22.680765,179452800
2/18/2016,24.709999,24.7225,24.022499,24.065001,22.250822,156084000
2/19/2016,24,24.190001,23.950001,24.01,22.199968,141496800
2/22/2016,24.077499,24.225,23.98,24.219999,22.394135,137123200
2/23/2016,24.1,24.125,23.637501,23.672501,21.887911,127770400
2/24/2016,23.495001,24.094999,23.33,24.025,22.213839,145022800
2/25/2016,24.012501,24.190001,23.8125,24.190001,22.366398,110330800
2/26/2016,24.299999,24.504999,24.145,24.227501,22.40107,115964400
2/29/2016,24.215,24.557501,24.1625,24.172501,22.35022,140865200
3/1/2016,24.4125,25.192499,24.355,25.1325,23.237843,201628400
3/2/2016,25.127501,25.2225,24.91,25.1875,23.288698,132678400
3/3/2016,25.145,25.4275,25.112499,25.375,23.462067,147822800
3/4/2016,25.592501,25.9375,25.342501,25.752501,23.811108,184220400
3/7/2016,25.5975,25.7075,25.24,25.467501,23.54759,143315600
3/8/2016,25.195,25.440001,25.1,25.2575,23.353424,126247600
3/9/2016,25.327499,25.395,25.067499,25.280001,23.374229,108806800
3/10/2016,25.352501,25.559999,25.0375,25.2925,23.385782,134054400
3/11/2016,25.559999,25.57,25.375,25.565001,23.637741,109632800
3/14/2016,25.477501,25.727501,25.445,25.629999,23.69784,100304400
3/15/2016,25.99,26.295,25.9625,26.145,24.174021,160270800
3/16/2016,26.1525,26.577499,26.147499,26.4925,24.495321,153214000
3/17/2016,26.379999,26.6175,26.24,26.450001,24.456024,137682800
3/18/2016,26.584999,26.625,26.297501,26.48,24.483761,176820800
3/21/2016,26.4825,26.9125,26.285,26.477501,24.481451,142010800
3/22/2016,26.3125,26.8225,26.3025,26.68,24.668686,129777600
3/23/2016,26.620001,26.7675,26.475,26.532499,24.532307,102814000
3/24/2016,26.3675,26.5625,26.2225,26.4175,24.425974,104532000
3/28/2016,26.5,26.547501,26.264999,26.297501,24.315023,77645600
3/29/2016,26.2225,26.9475,26.219999,26.92,24.890598,124760400
3/30/2016,27.1625,27.605,27.15,27.389999,25.325159,182404400
3/31/2016,27.43,27.475,27.219999,27.247499,25.193401,103553600
4/1/2016,27.195,27.5,27.049999,27.497499,25.424555,103496000
4/4/2016,27.605,28.047501,27.567499,27.780001,25.685759,149424800
4/5/2016,27.377501,27.682501,27.355,27.452499,25.382942,106314800
4/6/2016,27.557501,27.745001,27.299999,27.74,25.648769,105616400
4/7/2016,27.487499,27.605,27.030001,27.135,25.089386,127207600
4/8/2016,27.227501,27.442499,27.0425,27.165001,25.117125,94326800
4/11/2016,27.2425,27.6525,27.2075,27.254999,25.200335,117630000
4/12/2016,27.334999,27.625,27.165001,27.610001,25.528584,108929200
4/13/2016,27.700001,28.084999,27.700001,28.01,25.898418,133029200
4/14/2016,27.905001,28.0975,27.8325,28.025,25.912287,101895600
4/15/2016,28.0275,28.075001,27.432501,27.4625,25.392197,187756000
4/18/2016,27.2225,27.237499,26.735001,26.870001,24.844358,243286000
4/19/2016,26.969999,27,26.557501,26.727501,24.712605,129539600
4/20/2016,26.66,27.022499,26.514999,26.782499,24.76346,122444000
4/21/2016,26.7325,26.7325,26.379999,26.4925,24.495321,126210000
4/22/2016,26.252501,26.620001,26.155001,26.42,24.428289,134732400
4/25/2016,26.25,26.4125,26.127501,26.27,24.289597,112126400
4/26/2016,25.977501,26.325001,25.977501,26.0875,24.12085,224064800
4/27/2016,24,24.6775,23.92,24.455,22.61142,458408400
4/28/2016,24.4025,24.469999,23.5625,23.7075,21.920275,328970800
4/29/2016,23.497499,23.68,23.127501,23.434999,21.668312,274126000
5/2/2016,23.4925,23.52,23.1,23.41,21.645201,192640400
5/3/2016,23.549999,23.934999,23.42,23.795,22.001177,227325200
5/4/2016,23.799999,23.975,23.455,23.547501,21.772337,164102000
5/5/2016,23.5,23.5175,23.17,23.309999,21.683962,143562000
5/6/2016,23.342501,23.362499,22.9625,23.18,21.563028,174799600
5/9/2016,23.25,23.442499,23.147499,23.1975,21.579309,131745600
5/10/2016,23.3325,23.3925,23.0275,23.355,21.725824,134747200
5/11/2016,23.370001,23.3925,23.115,23.127501,21.514191,114876400
5/12/2016,23.18,23.195,22.3675,22.584999,21.009529,305258800
5/13/2016,22.5,22.9175,22.5,22.629999,21.051394,177571200
5/16/2016,23.0975,23.5975,22.9125,23.469999,21.832798,245039200
5/17/2016,23.637501,23.674999,23.252501,23.372499,21.742102,187667600
5/18/2016,23.540001,23.8025,23.4725,23.639999,21.990936,168249600
5/19/2016,23.66,23.66,23.3925,23.549999,21.907223,121768400
5/20/2016,23.66,23.8575,23.629999,23.805,22.144428,128104000
5/23/2016,23.967501,24.297501,23.9175,24.1075,22.425829,152074400
5/24/2016,24.305,24.522499,24.209999,24.475,22.767691,140560800
5/25/2016,24.6675,24.934999,24.5275,24.905001,23.167696,152675200
5/26/2016,24.92,25.182501,24.66,25.102501,23.351425,225324800
5/27/2016,24.860001,25.1175,24.8125,25.0875,23.337463,145364800
5/31/2016,24.9,25.1,24.705,24.965,23.223511,169228800
6/1/2016,24.754999,24.885,24.5825,24.615,22.897926,116693200
6/2/2016,24.4,24.459999,24.157499,24.43,22.725832,160766400
6/3/2016,24.4475,24.567499,24.362499,24.48,22.772343,114019600
6/6/2016,24.497499,25.4725,24.387501,24.657499,22.937462,93170000
6/7/2016,24.8125,24.967501,24.74,24.7575,23.030485,89638000
6/8/2016,24.754999,24.889999,24.67,24.735001,23.009556,83392400
6/9/2016,24.625,24.997499,24.615,24.9125,23.174677,106405600
6/10/2016,24.6325,24.8375,24.620001,24.7075,22.983974,126851600
6/13/2016,24.672501,24.780001,24.275,24.334999,22.637459,152082000
6/14/2016,24.33,24.620001,24.1875,24.365,22.665367,127727600
6/15/2016,24.455,24.602501,24.2575,24.285,22.590946,117780800
6/16/2016,24.112499,24.4375,24.0175,24.387501,22.686298,125307200
6/17/2016,24.155001,24.1625,23.825001,23.8325,22.170012,244032800
6/20/2016,24,24.1425,23.7575,23.775,22.116526,137647600
6/21/2016,23.735001,24.0875,23.67,23.977501,22.304897,142185600
6/22/2016,24.0625,24.2225,23.8375,23.887501,22.221176,116876400
6/23/2016,23.985001,24.0725,23.8125,24.025,22.349085,128960800
6/24/2016,23.227501,23.665001,23.1625,23.35,21.721169,301245600
6/27/2016,23.25,23.262501,22.875,23.01,21.404886,181958400
6/28/2016,23.225,23.415001,23.035,23.397499,21.765358,161779600
6/29/2016,23.4925,23.637501,23.407499,23.6,21.953733,146124000
6/30/2016,23.610001,23.942499,23.575001,23.9,22.232805,143345600
7/1/2016,23.872499,24.1175,23.8325,23.9725,22.300245,104106000
7/5/2016,23.8475,23.85,23.615,23.747499,22.090939,110820800
7/6/2016,23.65,23.915001,23.592501,23.8825,22.216528,123796400
7/7/2016,23.924999,24.125,23.905001,23.985001,22.311874,100558400
7/8/2016,24.122499,24.2225,24.012501,24.17,22.483967,115648400
7/11/2016,24.1875,24.4125,24.182501,24.245001,22.553736,95179600
7/12/2016,24.2925,24.424999,24.280001,24.355,22.656065,96670000
7/13/2016,24.352501,24.4175,24.209999,24.217501,22.528156,103568800
7/14/2016,24.3475,24.747499,24.33,24.6975,22.974672,155676000
7/15/2016,24.73,24.825001,24.625,24.695,22.972351,120548000
7/18/2016,24.674999,25.032499,24.65,24.9575,23.216532,145975600
7/19/2016,24.889999,25,24.834999,24.967501,23.225836,95119600
7/20/2016,25,25.115,24.934999,24.99,23.246767,105104000
7/21/2016,24.9575,25.25,24.782499,24.8575,23.12351,130808000
7/22/2016,24.815001,24.825001,24.577499,24.665001,22.944439,113254800
7/25/2016,24.5625,24.709999,24.23,24.334999,22.637459,161531600
7/26/2016,24.205,24.4925,24.105,24.1675,22.481644,224959200
7/27/2016,26.067499,26.0875,25.6875,25.737499,23.94212,369379200
7/28/2016,25.7075,26.112499,25.705,26.084999,24.265383,159479200
